,UNIT,Dayofweek,Hour,ENTRIESn_hourly
329,R008,0,0.0,357.0
330,R008,0,4.0,96.0
331,R008,0,8.0,1421.0
332,R008,0,12.0,4822.0
333,R008,0,16.0,3774.0
334,R008,0,20.0,1765.0
335,R008,1,0.0,578.0
336,R008,1,4.0,84.0
337,R008,1,8.0,1516.0
338,R008,1,12.0,4085.0
339,R008,1,16.0,3414.0
340,R008,1,20.0,1802.0
341,R008,2,0.0,625.0
342,R008,2,4.0,71.0
343,R008,2,8.0,199.0
344,R008,2,11.0,371.0
345,R008,2,12.0,5042.0
346,R008,2,16.0,2867.0
347,R008,2,20.0,1442.0
348,R008,3,0.0,418.0
349,R008,3,4.0,944.0
350,R008,3,12.0,6028.0
351,R008,3,16.0,3463.0
352,R008,3,20.0,1873.0
353,R008,4,0.0,669.0
354,R008,4,4.0,115.0
355,R008,4,8.0,366.0
356,R008,4,12.0,5174.0
357,R008,4,16.0,3457.0
358,R008,4,20.0,1800.0
359,R008,5,0.0,786.0
360,R008,5,4.0,110.0
361,R008,5,8.0,102.0
362,R008,5,12.0,1635.0
363,R008,5,16.0,1178.0
364,R008,5,20.0,832.0
365,R008,6,0.0,476.0
366,R008,6,4.0,145.0
367,R008,6,12.0,1198.0
368,R008,6,16.0,872.0
369,R008,6,20.0,657.0
370,R009,0,0.0,459.0
371,R009,0,4.0,229.0
372,R009,0,8.0,951.0
373,R009,0,12.0,4060.0
374,R009,0,14.0,203.0
375,R009,0,16.0,1991.0
376,R009,0,20.0,2289.0
377,R009,1,0.0,683.0
378,R009,1,4.0,188.0
379,R009,1,8.0,1237.0
380,R009,1,12.0,3445.0
381,R009,1,16.0,1785.0
382,R009,1,20.0,2087.0
383,R009,2,0.0,807.0
384,R009,2,4.0,191.0
385,R009,2,8.0,733.0
386,R009,2,9.0,229.0
387,R009,2,12.0,2928.0
388,R009,2,16.0,1249.0
389,R009,2,20.0,2702.0
390,R009,3,0.0,923.0
391,R009,3,4.0,755.0
392,R009,3,8.0,547.0
393,R009,3,12.0,4116.0
394,R009,3,16.0,1873.0
395,R009,3,20.0,2072.0
396,R009,4,0.0,767.0
397,R009,4,4.0,193.0
398,R009,4,8.0,691.0
399,R009,4,12.0,3834.0
400,R009,4,16.0,1907.0
401,R009,4,20.0,2040.0
402,R009,5,0.0,847.0
403,R009,5,4.0,227.0
404,R009,5,8.0,70.0
405,R009,5,12.0,1338.0
406,R009,5,16.0,1129.0
407,R009,5,20.0,780.0
408,R009,6,0.0,551.0
409,R009,6,4.0,182.0
410,R009,6,8.0,67.0
411,R009,6,12.0,960.0
412,R009,6,16.0,871.0
413,R009,6,20.0,741.0
414,R010,0,2.0,18521.0
415,R010,0,6.0,3927.0
416,R010,0,10.0,20060.0
417,R010,0,14.0,16122.0
418,R010,0,18.0,55447.0
419,R010,0,22.0,33281.0
420,R010,1,2.0,14860.0
421,R010,1,6.0,2703.0
422,R010,1,10.0,11550.0
423,R010,1,14.0,17554.0
424,R010,1,15.0,1154.0
425,R010,1,18.0,31357.0
426,R010,1,22.0,27114.0
427,R010,2,2.0,13427.0
428,R010,2,6.0,2248.0
429,R010,2,10.0,13422.0
430,R010,2,14.0,14047.0
431,R010,2,18.0,47026.0
432,R010,2,22.0,40452.0
433,R010,3,2.0,21835.0
434,R010,3,6.0,3275.0
435,R010,3,10.0,13858.0
436,R010,3,14.0,17943.0
437,R010,3,18.0,32554.0
438,R010,3,22.0,34083.0
439,R010,4,2.0,21931.0
440,R010,4,6.0,4174.0
441,R010,4,7.0,649.0
442,R010,4,10.0,11716.0
443,R010,4,14.0,18549.0
444,R010,4,18.0,31922.0
445,R010,4,22.0,31733.0
446,R010,5,2.0,28960.0
447,R010,5,6.0,6567.0
448,R010,5,10.0,5953.0
449,R010,5,14.0,16266.0
450,R010,5,18.0,28097.0
451,R010,5,22.0,26762.0
452,R010,6,2.0,27961.0
453,R010,6,6.0,8690.0
454,R010,6,10.0,6102.0
455,R010,6,14.0,15389.0
456,R010,6,18.0,25502.0
457,R010,6,22.0,29500.0
458,R011,0,0.0,31035.0
459,R011,0,4.0,3730.0
460,R011,0,7.0,5080.0
461,R011,0,8.0,44784.0
462,R011,0,10.0,2874.0
463,R011,0,12.0,90047.0
464,R011,0,16.0,44270.0
465,R011,0,20.0,66428.0
466,R011,1,0.0,24414.0
467,R011,1,4.0,3721.0
468,R011,1,8.0,32805.0
469,R011,1,12.0,120663.0
470,R011,1,16.0,32058.0
471,R011,1,20.0,48320.0
472,R011,2,0.0,21057.0
473,R011,2,4.0,4522.0
474,R011,2,7.0,4005.0
475,R011,2,8.0,26483.0
476,R011,2,12.0,92006.0
477,R011,2,16.0,58413.0
478,R011,2,20.0,53436.0
479,R011,3,0.0,26375.0
480,R011,3,4.0,2333.0
481,R011,3,6.0,478.0
482,R011,3,7.0,958.0
483,R011,3,8.0,25117.0
484,R011,3,10.0,304.0
485,R011,3,11.0,14706.0
486,R011,3,12.0,96991.0
487,R011,3,14.0,935.0
488,R011,3,16.0,28116.0
489,R011,3,20.0,53348.0
490,R011,4,0.0,27634.0
491,R011,4,4.0,6632.0
492,R011,4,7.0,1816.0
493,R011,4,8.0,28916.0
494,R011,4,12.0,98552.0
495,R011,4,16.0,35496.0
496,R011,4,20.0,50763.0
497,R011,5,0.0,31745.0
498,R011,5,4.0,3764.0
499,R011,5,8.0,2952.0
500,R011,5,12.0,33565.0
501,R011,5,16.0,30981.0
502,R011,5,20.0,33073.0
503,R011,6,0.0,24449.0
504,R011,6,4.0,5851.0
505,R011,6,8.0,4281.0
506,R011,6,12.0,31071.0
507,R011,6,16.0,33607.0
508,R011,6,20.0,37954.0
509,R012,0,0.0,27105.0
510,R012,0,4.0,4021.0
511,R012,0,7.0,1274.0
512,R012,0,8.0,31894.0
513,R012,0,12.0,87050.0
514,R012,0,14.0,185.0
515,R012,0,16.0,45838.0
516,R012,0,20.0,78787.0
517,R012,1,0.0,23121.0
518,R012,1,4.0,2942.0
519,R012,1,6.0,0.0
520,R012,1,7.0,2095.0
521,R012,1,8.0,27203.0
522,R012,1,9.0,119.0
523,R012,1,10.0,150.0
524,R012,1,12.0,86804.0
525,R012,1,13.0,0.0
526,R012,1,14.0,28.0
527,R012,1,16.0,37699.0
528,R012,1,20.0,71308.0
529,R012,2,0.0,26278.0
530,R012,2,4.0,3074.0
531,R012,2,8.0,27761.0
532,R012,2,12.0,91549.0
533,R012,2,13.0,1350.0
534,R012,2,16.0,37471.0
535,R012,2,20.0,71521.0
536,R012,3,0.0,27894.0
537,R012,3,4.0,4241.0
538,R012,3,7.0,294.0
539,R012,3,8.0,25516.0
540,R012,3,9.0,1124.0
541,R012,3,11.0,4339.0
542,R012,3,12.0,78987.0
543,R012,3,13.0,75.0
544,R012,3,16.0,36736.0
545,R012,3,20.0,72086.0
546,R012,4,0.0,31881.0
547,R012,4,4.0,5766.0
548,R012,4,8.0,26950.0
549,R012,4,12.0,74360.0
550,R012,4,16.0,45023.0
551,R012,4,20.0,70725.0
552,R012,5,0.0,28731.0
553,R012,5,4.0,6277.0
554,R012,5,8.0,3479.0
555,R012,5,12.0,22036.0
556,R012,5,16.0,33448.0
557,R012,5,20.0,40565.0
558,R012,6,0.0,23962.0
559,R012,6,2.0,0.0
560,R012,6,4.0,7375.0
561,R012,6,8.0,3579.0
562,R012,6,12.0,20989.0
563,R012,6,16.0,32703.0
564,R012,6,20.0,48984.0
565,R013,0,0.0,6534.0
566,R013,0,4.0,1327.0
567,R013,0,8.0,7808.0
568,R013,0,12.0,21852.0
569,R013,0,16.0,15723.0
570,R013,0,20.0,31272.0
571,R013,1,0.0,8697.0
572,R013,1,4.0,1196.0
573,R013,1,6.0,17.0
574,R013,1,8.0,8750.0
575,R013,1,12.0,19964.0
576,R013,1,16.0,12061.0
577,R013,1,20.0,27019.0
578,R013,2,0.0,13194.0
579,R013,2,4.0,858.0
580,R013,2,8.0,9057.0
581,R013,2,12.0,18395.0
582,R013,2,15.0,984.0
583,R013,2,16.0,13118.0
584,R013,2,20.0,30970.0
585,R013,3,0.0,9751.0
586,R013,3,4.0,1193.0
587,R013,3,8.0,5872.0
588,R013,3,9.0,553.0
589,R013,3,11.0,924.0
590,R013,3,12.0,20362.0
591,R013,3,13.0,7.0
592,R013,3,15.0,1111.0
593,R013,3,16.0,12637.0
594,R013,3,20.0,28858.0
595,R013,4,0.0,11102.0
596,R013,4,1.0,24.0
597,R013,4,4.0,1184.0
598,R013,4,8.0,7157.0
599,R013,4,12.0,18506.0
600,R013,4,16.0,16522.0
601,R013,4,20.0,23969.0
602,R013,5,0.0,10070.0
603,R013,5,4.0,2532.0
604,R013,5,8.0,901.0
605,R013,5,12.0,4482.0
606,R013,5,16.0,7022.0
607,R013,5,20.0,9081.0
608,R013,6,0.0,6711.0
609,R013,6,4.0,2716.0
610,R013,6,8.0,831.0
611,R013,6,12.0,4601.0
612,R013,6,16.0,9338.0
613,R013,6,20.0,11650.0
614,R014,0,1.0,2975.0
615,R014,0,5.0,309.0
616,R014,0,7.0,338.0
617,R014,0,9.0,13013.0
618,R014,0,13.0,19623.0
619,R014,0,14.0,320.0
620,R014,0,17.0,37515.0
621,R014,0,21.0,62718.0
622,R014,1,1.0,6402.0
623,R014,1,5.0,2591.0
624,R014,1,7.0,217.0
625,R014,1,9.0,12960.0
626,R014,1,10.0,0.0
627,R014,1,11.0,71.0
628,R014,1,13.0,14632.0
629,R014,1,14.0,482.0
630,R014,1,17.0,38283.0
631,R014,1,21.0,63059.0
632,R014,2,1.0,7850.0
633,R014,2,5.0,3579.0
634,R014,2,8.0,78.0
635,R014,2,9.0,13228.0
636,R014,2,13.0,19715.0
637,R014,2,17.0,37676.0
638,R014,2,21.0,60985.0
639,R014,3,1.0,7222.0
640,R014,3,5.0,385.0
641,R014,3,7.0,93.0
642,R014,3,9.0,13133.0
643,R014,3,13.0,19728.0
644,R014,3,17.0,38129.0
645,R014,3,21.0,63187.0
646,R014,4,1.0,8768.0
647,R014,4,5.0,435.0
648,R014,4,9.0,12355.0
649,R014,4,13.0,17559.0
650,R014,4,17.0,42782.0
651,R014,4,21.0,49763.0
652,R014,5,1.0,15012.0
653,R014,5,5.0,564.0
654,R014,5,9.0,1541.0
655,R014,5,13.0,6593.0
656,R014,5,17.0,14283.0
657,R014,5,21.0,13522.0
658,R014,6,1.0,4339.0
659,R014,6,5.0,530.0
660,R014,6,9.0,855.0
661,R014,6,13.0,5127.0
662,R014,6,17.0,10020.0
663,R014,6,20.0,140.0
664,R014,6,21.0,11416.0
665,R015,0,2.0,858.0
666,R015,0,6.0,117.0
667,R015,0,10.0,2005.0
668,R015,0,14.0,7706.0
669,R015,0,18.0,40212.0
670,R015,0,22.0,34722.0
671,R015,1,2.0,4375.0
672,R015,1,5.0,4068.0
673,R015,1,6.0,2690.0
674,R015,1,10.0,2131.0
675,R015,1,14.0,9714.0
676,R015,1,18.0,42986.0
677,R015,1,22.0,26344.0
678,R015,2,2.0,9382.0
679,R015,2,5.0,0.0
680,R015,2,6.0,3912.0
681,R015,2,9.0,237.0
682,R015,2,10.0,1874.0
683,R015,2,14.0,13744.0
684,R015,2,18.0,47774.0
685,R015,2,22.0,30963.0
686,R015,3,2.0,1971.0
687,R015,3,5.0,1564.0
688,R015,3,6.0,1798.0
689,R015,3,7.0,3777.0
690,R015,3,10.0,2108.0
691,R015,3,14.0,9524.0
692,R015,3,18.0,44591.0
693,R015,3,22.0,26525.0
694,R015,4,2.0,3538.0
695,R015,4,5.0,4147.0
696,R015,4,6.0,3880.0
697,R015,4,10.0,3678.0
698,R015,4,14.0,11679.0
699,R015,4,18.0,45572.0
700,R015,4,22.0,19870.0
701,R015,5,2.0,13475.0
702,R015,5,6.0,210.0
703,R015,5,10.0,681.0
704,R015,5,13.0,5.0
705,R015,5,14.0,3289.0
706,R015,5,18.0,8494.0
707,R015,5,22.0,5940.0
708,R015,6,2.0,1684.0
709,R015,6,6.0,326.0
710,R015,6,10.0,833.0
711,R015,6,14.0,3589.0
712,R015,6,18.0,8232.0
713,R015,6,22.0,5754.0
714,R016,0,0.0,1614.0
715,R016,0,4.0,347.0
716,R016,0,7.0,20.0
717,R016,0,8.0,488.0
718,R016,0,12.0,3591.0
719,R016,0,16.0,6584.0
720,R016,0,20.0,17254.0
721,R016,1,0.0,3967.0
722,R016,1,4.0,712.0
723,R016,1,8.0,557.0
724,R016,1,12.0,3430.0
725,R016,1,16.0,5038.0
726,R016,1,20.0,12830.0
727,R016,2,0.0,7993.0
728,R016,2,4.0,2426.0
729,R016,2,8.0,448.0
730,R016,2,12.0,3870.0
731,R016,2,14.0,0.0
732,R016,2,16.0,6700.0
733,R016,2,20.0,17455.0
734,R016,3,0.0,4553.0
735,R016,3,4.0,657.0
736,R016,3,8.0,243.0
737,R016,3,10.0,284.0
738,R016,3,11.0,127.0
739,R016,3,12.0,3462.0
740,R016,3,13.0,29.0
741,R016,3,14.0,245.0
742,R016,3,16.0,5868.0
743,R016,3,20.0,16528.0
744,R016,4,0.0,5169.0
745,R016,4,4.0,1257.0
746,R016,4,8.0,302.0
747,R016,4,12.0,3631.0
748,R016,4,16.0,7998.0
749,R016,4,20.0,14655.0
750,R016,5,0.0,3586.0
751,R016,5,4.0,791.0
752,R016,5,8.0,274.0
753,R016,5,12.0,1539.0
754,R016,5,16.0,2821.0
755,R016,5,20.0,3223.0
756,R016,6,0.0,1757.0
757,R016,6,4.0,711.0
758,R016,6,8.0,58.0
759,R016,6,12.0,1736.0
760,R016,6,16.0,2555.0
761,R016,6,20.0,3037.0
762,R017,0,0.0,7223.0
763,R017,0,4.0,1068.0
764,R017,0,7.0,170.0
765,R017,0,8.0,3103.0
766,R017,0,12.0,16875.0
767,R017,0,16.0,27150.0
768,R017,0,20.0,77496.0
769,R017,1,0.0,15384.0
770,R017,1,4.0,1882.0
771,R017,1,8.0,3561.0
772,R017,1,12.0,16205.0
773,R017,1,13.0,1252.0
774,R017,1,16.0,25820.0
775,R017,1,20.0,77174.0
776,R017,2,0.0,16892.0
777,R017,2,4.0,1992.0
778,R017,2,8.0,1533.0
779,R017,2,12.0,18111.0
780,R017,2,13.0,214.0
781,R017,2,16.0,22790.0
782,R017,2,20.0,71396.0
783,R017,3,0.0,27681.0
784,R017,3,4.0,4807.0
785,R017,3,6.0,70.0
786,R017,3,8.0,2434.0
787,R017,3,12.0,15963.0
788,R017,3,13.0,17.0
789,R017,3,16.0,28116.0
790,R017,3,20.0,75214.0
791,R017,4,0.0,21115.0
792,R017,4,4.0,5671.0
793,R017,4,8.0,2242.0
794,R017,4,12.0,15975.0
795,R017,4,16.0,34899.0
796,R017,4,20.0,61278.0
797,R017,5,0.0,22445.0
798,R017,5,4.0,3357.0
799,R017,5,8.0,993.0
800,R017,5,11.0,8.0
801,R017,5,12.0,6606.0
802,R017,5,16.0,11386.0
803,R017,5,20.0,13419.0
804,R017,6,0.0,7979.0
805,R017,6,4.0,3075.0
806,R017,6,8.0,924.0
807,R017,6,12.0,6385.0
808,R017,6,16.0,10350.0
809,R017,6,20.0,11812.0
810,R018,0,0.0,27347.0
811,R018,0,4.0,7434.0
812,R018,0,8.0,25115.0
813,R018,0,12.0,83651.0
814,R018,0,13.0,0.0
815,R018,0,14.0,679.0
816,R018,0,16.0,49618.0
817,R018,0,18.0,259.0
818,R018,0,19.0,638.0
819,R018,0,20.0,48846.0
820,R018,0,22.0,1519.0
821,R018,0,23.0,1944.0
822,R018,1,0.0,15285.0
823,R018,1,4.0,3138.0
824,R018,1,8.0,12655.0
825,R018,1,12.0,93326.0
826,R018,1,16.0,40859.0
827,R018,1,20.0,38933.0
828,R018,2,0.0,17671.0
829,R018,2,4.0,3929.0
830,R018,2,7.0,788.0
831,R018,2,8.0,20985.0
832,R018,2,12.0,87662.0
833,R018,2,13.0,2645.0
834,R018,2,16.0,31490.0
835,R018,2,20.0,35929.0
836,R018,3,0.0,19691.0
837,R018,3,4.0,3686.0
838,R018,3,7.0,539.0
839,R018,3,8.0,20231.0
840,R018,3,12.0,83304.0
841,R018,3,16.0,48603.0
842,R018,3,20.0,39895.0
843,R018,4,0.0,18912.0
844,R018,4,4.0,3367.0
845,R018,4,6.0,150.0
846,R018,4,8.0,6645.0
847,R018,4,9.0,4061.0
848,R018,4,12.0,85966.0
849,R018,4,13.0,650.0
850,R018,4,14.0,241.0
851,R018,4,15.0,4996.0
852,R018,4,16.0,33330.0
853,R018,4,19.0,427.0
854,R018,4,20.0,44552.0
855,R018,5,0.0,27143.0
856,R018,5,4.0,4331.0
857,R018,5,8.0,2055.0
858,R018,5,9.0,26.0
859,R018,5,12.0,54500.0
860,R018,5,14.0,711.0
861,R018,5,16.0,44835.0
862,R018,5,20.0,34498.0
863,R018,6,0.0,19308.0
864,R018,6,4.0,6004.0
865,R018,6,8.0,7274.0
866,R018,6,12.0,42349.0
867,R018,6,16.0,40176.0
868,R018,6,18.0,1971.0
869,R018,6,20.0,33106.0
870,R019,0,0.0,4485.0
871,R019,0,4.0,943.0
872,R019,0,8.0,32462.0
873,R019,0,12.0,39198.0
874,R019,0,14.0,1025.0
875,R019,0,16.0,14521.0
876,R019,0,20.0,13263.0
877,R019,1,0.0,4031.0
878,R019,1,4.0,772.0
879,R019,1,8.0,25398.0
880,R019,1,12.0,42575.0
881,R019,1,16.0,15401.0
882,R019,1,20.0,11448.0
883,R019,2,0.0,4129.0
884,R019,2,4.0,792.0
885,R019,2,8.0,26372.0
886,R019,2,10.0,12.0
887,R019,2,11.0,32.0
